creation_datetime,last_change_datetime,id,racer_id,race_id,qualification_place,qualification_points,place,points,punishments,extras,fastest_lap,driver_of_the_day,punishment_and_extras_description,name,total_points
2024-02-01 11:57:44.438216,2024-02-01 11:57:44.459956,100,4,6,2,8.0,1,30.0,0.0,0.0,True,False,,Racer: Dinis Brito e Faro in Race: Bombarral in September 2023,39.0
2024-02-01 11:57:44.481672,2024-02-01 11:57:44.487701,101,5,6,1,9.0,1,30.0,0.0,0.0,False,False,,Racer: Alexandre Campelo in Race: Bombarral in September 2023,39.0
2024-02-01 11:57:44.507567,2024-02-01 11:57:44.511283,102,2,6,3,6.0,1,30.0,0.0,0.0,False,False,,Racer: João Couceiro in Race: Bombarral in September 2023,36.0
2024-02-01 11:57:44.524990,2024-02-01 11:57:44.529200,103,15,6,7,0.0,1,30.0,0.0,0.0,False,False,,Racer: José Pedro Raimundo in Race: Bombarral in September 2023,30.0
2024-02-01 11:57:44.545842,2024-02-01 11:57:44.548640,104,7,6,5,2.0,1,30.0,0.0,0.0,False,False,,Racer: Henrique Vilas in Race: Bombarral in September 2023,32.0
2024-02-01 11:57:44.560772,2024-02-01 11:57:44.565288,105,14,6,6,1.0,1,30.0,0.0,0.0,False,False,,Racer: Tomás Marrana in Race: Bombarral in September 2023,31.0
2024-02-01 11:57:44.576931,2024-02-01 11:57:44.579881,106,17,6,4,5.0,1,30.0,0.0,0.0,False,False,,Racer: Gonçalo Ramalho in Race: Bombarral in September 2023,35.0
2024-02-01 11:57:44.591311,2024-02-01 11:57:44.594032,107,31,6,8,0.0,1,30.0,0.0,0.0,False,False,,Racer: Maria Campelo in Race: Bombarral in September 2023,30.0
2024-02-01 11:57:44.605110,2024-02-01 11:57:44.607549,108,27,6,9,0.0,1,30.0,0.0,0.0,False,False,,Racer: Frederico Batista in Race: Bombarral in September 2023,30.0
2024-02-01 11:57:44.617494,2024-02-01 11:57:44.622095,109,30,6,10,0.0,1,30.0,0.0,0.0,False,False,,Racer: Tomás Duarte in Race: Bombarral in September 2023,30.0
2024-02-01 11:57:44.633265,2024-02-01 11:57:44.636122,110,28,6,11,0.0,1,30.0,0.0,0.0,False,False,,Racer: Afonso Menezes in Race: Bombarral in September 2023,30.0
2024-02-01 11:57:44.645179,2024-02-01 11:57:44.647712,111,25,6,12,0.0,1,30.0,0.0,0.0,False,False,,Racer: José Maria Garrett in Race: Bombarral in September 2023,30.0
2024-02-01 11:57:44.665699,2024-02-01 11:57:44.668772,112,1,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Francisco Matos Gil in Race: Bombarral in September 2023,0.0
2024-02-01 11:57:44.671822,2024-02-01 11:57:44.674707,113,3,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Miguel Caeiro in Race: Bombarral in September 2023,0.0
2024-02-01 11:57:44.677268,2024-02-01 11:57:44.681079,114,6,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Luís Ferreira in Race: Bombarral in September 2023,0.0
2024-02-01 11:57:44.683942,2024-02-01 11:57:44.686740,115,8,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Francisco Lima in Race: Bombarral in September 2023,0.0
