creation_datetime,last_change_datetime,id,racer_id,track_id,name
2024-02-01 13:46:02.713744,2024-02-01 13:46:02.713754,105,2,1,Racer: João Couceiro in Track: Vila Real 
2024-02-01 13:46:02.768195,2024-02-01 13:46:02.768202,106,3,1,Racer: Miguel Caeiro in Track: Vila Real 
2024-02-01 13:46:02.808701,2024-02-01 13:46:02.808708,107,9,1,Racer: Pedro Pacheco in Track: Vila Real 
2024-02-01 13:46:02.846080,2024-02-01 13:46:02.846086,108,7,1,Racer: Henrique Vilas in Track: Vila Real 
2024-02-01 13:46:02.993376,2024-02-01 13:46:02.993387,109,29,1,Racer: José Couceiro in Track: Vila Real 
2024-02-01 13:46:03.060128,2024-02-01 13:46:03.060136,110,10,1,Racer: Francisco Freitas in Track: Vila Real 
2024-02-01 13:46:03.135462,2024-02-01 13:46:03.135470,111,17,1,Racer: Gonçalo Ramalho in Track: Vila Real 
2024-02-01 13:46:03.188657,2024-02-01 13:46:03.188664,112,4,1,Racer: Dinis Brito e Faro in Track: Vila Real 
2024-02-01 13:46:03.262254,2024-02-01 13:46:03.262275,113,12,1,Racer: Gonçalo Garrett in Track: Vila Real 
2024-02-01 13:46:03.414050,2024-02-01 13:46:03.414068,114,5,1,Racer: Alexandre Campelo in Track: Vila Real 
2024-02-01 13:46:03.509736,2024-02-01 13:46:03.509741,115,31,1,Racer: Maria Campelo in Track: Vila Real 
